state,city,zip,Y,X,compid,id
MA,Devens,1434,42.560949,-71.576624,2,119
IN,Marion,46952,40.573842,-85.666492,2,120
UT,Vernal,84078,40.47432,-109.570104,2,121
IA,Cedar Rapids,52404,41.947254,-91.690122,2,122
CA,Techachapi,93561,35.135575,-118.527991,2,123
FL,Cocoa,32926,28.387668,-80.791132,2,124
NJ,Newark,7105,40.72214,-74.140998,2,125
LA,Bunkie,71322,30.94338,-92.18526,2,126
NM,Lovington,88260,32.93112,-103.31346,2,127
TX,Grand Prairie,75050,32.768436,-97.002967,2,128
TX,Houston,77061,29.659716,-95.284114,2,129
TN,Knoxville,37921,35.97295,-83.986531,2,130
CO,Monument,80132,39.100182,-104.849748,2,131
NC,Advance,27006,36.01038,-80.44734,2,132
IL,Bensenville,60106,41.955274,-87.948789,2,133
IN,Rochester,46975,41.061041,-86.208192,2,134
NM,Clovis,88101,34.40538,-103.24842,2,135
TN,Louisville,37777,35.831102,-84.048154,2,136
MO,Kansas City,64161,39.161625,-94.466674,2,137
FL,Bartow,33830,27.899601,-81.819661,2,138
TX,Orla,79770,31.82789,-103.91303,2,139
TX,Falfurrias,78355,27.22536,-98.1437,2,140
TN,Crossville,38571,35.957067,-84.971996,2,141
TX,Rhome,76078,33.046961,-97.472602,2,142
TX,Pecos,79772,31.375544,-103.523013,2,143
TX,Kermit,79745,31.853325,-103.090864,2,144
PA,Emlenton,16373,41.178788,-79.709264,2,145
LA,St. Rose,70087,29.982463,-90.313325,2,146
AR,Benton,72015,34.566563,-92.583045,2,147
TN,Knoxville,37917,35.995236,-83.917073,2,148
TN,Knoxville,37918,36.049059,-83.918501,2,149
TN,Knoxville,37912,36.005751,-83.981348,2,150
TN,Knoxville,37918,36.049059,-83.918501,2,151
TN,Maryville,37801,35.749086,-83.96954,2,152
OH,Richfield,44286,41.231451,-81.641199,2,153
IA,Osceola,50213,41.036668,-93.763856,2,154
TN,Kingston,37763,35.876568,-84.507327,2,155
OR,Chemult,97731,43.0653,-121.84992,2,156
MN,St. Cloud,56311,45.891548,-95.883332,2,157
CA,Weed,96094,41.466318,-122.383688,2,158
TN,Knoxville,37919,35.926579,-84.006405,2,159
UT,Roosevelt,84066,40.298824,-109.998125,2,160
WY,Evanston,82930,41.249255,-110.959297,2,161
GA,AUGUSTA,30907,33.525,-82.10142,2,162
AR,Springdale,72762,36.180785,-94.167717,2,163
NY,Castleton,12033,42.535438,-73.70907,2,164
NV,W. Wendover,89883,40.69133,-114.143019,2,165
TN,Stanton,38069,35.441511,-89.33686,2,166
MD,Hagerstown,21740,39.643547,-77.718382,2,167
WA,Tumwater,98512,46.951987,-123.014667,2,168
IN,Memphis,47143,38.471919,-85.766289,2,169
CA,Lost Hills,93249,35.655395,-119.76904,2,170
AL,Lincoln,35096,33.593989,-86.132344,2,171
AL,Good Hope,35055,34.174036,-86.843648,2,172
KY,Morton's Gap,42440,37.238024,-87.469456,2,173
TX,Sulphur Springs,75482,33.128095,-95.598595,2,174
TN,Pioneer,37847,36.459083,-84.30266,2,175
TN,Knoxville,37922,35.85642,-84.12834,2,176
VA,Tallysville,23140,37.443403,-77.056714,2,177
NM,Lordsburg,88045,32.347258,-108.708739,2,178
WI,Mauston,53948,43.795494,-90.080098,2,179
IL,Effingham,62401,39.12264,-88.58796,2,180
TN,Knoxville,37920,35.923862,-83.877198,2,181
MO,Nevada,64772,37.838803,-94.36126,2,182
CA,Dunnigan,95937,38.888464,-121.990452,2,183
IL,Oakwood,61858,40.107624,-87.776626,2,184
TN,Pigeon Forge,37863,35.793902,-83.562814,2,185
MS,New Albany,38652,34.491548,-89.012762,2,186
MD,Hagerstown,21740,39.643547,-77.718382,2,187
AZ,Bellemont,86015,35.198056,-111.650556,2,188
TN,Knoxville,37912,36.005751,-83.981348,2,189
NJ,Hampton,8827,40.678752,-74.963414,2,190
TN,Knoxville,38924,33.293145,-90.230924,2,191
GA,Tifton,31794,31.460118,-83.509086,2,192
TN,Knoxville,37923,35.924565,-84.100399,2,193
OR,Wasco,97065,45.593945,-120.695798,2,194
OK,Roland,74954,35.417716,-94.509455,2,195
IN,Plymouth,46563,41.348915,-86.328202,2,196
LA,Haughton,71037,32.5368,-93.5349,2,197
CA,Boron,93516,35.008562,-117.655982,2,198
TN,Knoxville,37921,35.97295,-83.986531,2,199
TX,Weatherford,76087,32.699394,-97.77265,2,200
TN,Sevierville,37862,35.871495,-83.53315,2,201
MO,Pacific,63609,38.48194,-90.74139,2,202
TX,Van Horn,79855,31.06,-104.21,2,203
NJ,Mahwah,7430,41.074187,-74.153515,2,204
AZ,Lake Havasu Cit,86404,34.518339,-114.324094,2,205
TN,Lenoia City,37771,35.792702,-84.266138,2,206
OH,Columbus,43204,39.955851,-83.082221,2,207
TN,Knoxville,37912,36.005751,-83.981348,2,208
TN,Knoxville,37918,36.049059,-83.918501,2,209
TN,Knoxville,37914,35.992378,-83.825982,2,210
MA,Sturbridge,1566,42.110485,-72.076312,2,211
TN,Knoxville,37934,35.8761,-84.1703,2,212
MA,Sturbridge,1566,42.110485,-72.076312,2,213
TN,Seymour,37865,35.863635,-83.739635,2,214
TN,Pioneer,37847,36.459083,-84.30266,2,215
TN,Dandridge,37725,36.020059,-83.419087,2,216
KY,Corbin,40701,36.937489,-84.114901,2,217
OR,Ontario,97914,44.052879,-116.984744,2,218
OR,Oakland,97462,43.46688,-123.36624,2,219
TX,Huntsville,77320,30.81913,-95.578507,2,220
TN,Knoxville,37919,35.926579,-84.006405,2,221
IL,Minooka,60447,41.507187,-88.334647,2,222
CA,Salinas,93901,36.667014,-121.654897,2,223
IA,Percival,51648,40.751649,-95.809619,2,224
OH,Upper Sandusky,43351,40.81548,-83.31012,2,225
KY,Middlesboro,40965,36.609522,-83.721655,2,226
TN,Knoxville,37914,35.992378,-83.825982,2,227
IN,Shelbyville,46176,39.51857,-85.778917,2,228
WV,Nitro,25143,38.410942,-81.828664,2,229
TN,Knoxville,37916,35.954943,-83.93035,2,230
PA,Harrisburg,17112,40.33806,-76.80378,2,231
IN,Crawfordsville,47933,40.034074,-86.907942,2,232
IL,Troy,62294,38.7068,-89.873032,2,233
TN,Knoxville,37924,36.030778,-83.813882,2,234
MO,Kearney,64060,39.363857,-94.361037,2,235
NJ,Carneys Point,8069,39.70704,-75.4467,2,236
GA,Wildwood,30757,34.977192,-85.436272,2,237
CT,Milford,6460,41.232682,-73.061948,2,238
VA,Danville,24541,36.574659,-79.436458,2,239
TX,Midland,79706,31.989044,-102.073733,2,240
VA,Troutville,24175,37.397461,-79.876477,2,241
OK,Muskogee,74401,35.7399,-95.38494,2,242
GA,Albany,31705,31.558731,-84.090313,2,243
MS,Winona,38967,33.483835,-89.732137,2,244
TN,Knoxville,37914,35.992378,-83.825982,2,245
TN,Cookeville,38501,36.19962,-85.52274,2,246
NM,Las Cruces,88005,32.323217,-106.805117,2,247
GA,Byron,31008,32.646227,-83.754589,2,248
IA,Walcott,52773,41.63646,-90.75894,2,249
TN,Sevierville,37876,35.839522,-83.480286,2,250
TN,Knoxville,37922,35.85642,-84.12834,2,251
IN,Gary,46406,41.587301,-87.411577,2,252
LA,Breaux Bridge,70517,30.279139,-91.898037,2,253
NC,Charlotte,28206,35.25084,-80.822041,2,254
TN,Powell,37894,36.03167,-84.02806,2,255
KY,Walton,41094,38.884714,-84.634472,2,256
AZ,Rio Rico,85648,31.48626,-111.003,2,257
NJ,Bloomsbury,8804,40.645635,-75.076618,2,258
OH,Girard,44420,41.157789,-80.68793,2,259
CA,Barstow,92311,34.887322,-117.037597,2,260
MI,Monroe,48162,41.94,-83.313333,2,261
OH,Hebron,43025,39.97458,-82.50594,2,262
OH,Eaton,45320,39.733814,-84.671102,2,263
OH,Burbank,44214,40.946706,-81.998141,2,264
WI,Beloit,53511,42.5589,-89.08734,2,265
